,SAR,CUSTOMER_TYPE.x,RISK_RATING.x,PEP_FLAG,OFFSHORE_FLAG,BUSINESS_TYPE_DESCRIPTION,COMPANY_FORM,MAIN_RELATIONSHIP_MGR_SRC_UNID,PARENT_CHILD_FLAG,PLACE_OF_BIRTH,DOMESTIC_PEP_CODE,DOMESTIC_PEP_SOURCE_CODE,FOREIGN_PEP_CODE,FOREIGN_PEP_SOURCE_CODE,ADDRESS_COUNTRY_REGION,ADDRESS_COUNTRY_RISK_WEIGHT,CUST_TYPE_ALTERNATIVE_DESCR,BUSINESS_TYPE,BUSINESS_TYPE_DESC,AVG_MT103_DEBIT_3M,AVG_MT103_DEBIT_12M,RATIO_NUM_MT103_12M,TTL_NUM_IN_MT202_M1_TXN,TTL_NUM_IN_MT202_M2_TXN,TTL_NUM_IN_MT202_M3_TXN,TTL_NUM_IN_MT202_M4_TXN,TTL_NUM_IN_MT202_M5_TXN,TTL_NUM_IN_MT202_M6_TXN,TTL_NUM_IN_MT202_M7_TXN,TTL_NUM_IN_MT202_M8_TXN,TTL_NUM_IN_MT202_M9_TXN,TTL_NUM_IN_MT202_M10_TXN,TTL_NUM_IN_MT202_M11_TXN,TTL_NUM_IN_MT202_M12_TXN,TTL_NUM_IN_MT103_202C_M1_TXN,CLIENT_ACC_KNOWN_FOR_MONTH,pred_rf.No_SAR,pred_rf.SAR,ratio_bins
1,No_SAR,FI - Corr-Bank RUSSIA,High Risk (special case),N,N,66-FI-Corr-B-RU - Correspondent Bank from Russia,Aktiengesellschaft,WZHZAT1,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS-RUSSIA,3,11 - Banks - FI,66-FI-Corr-B-RU,66-FI-Corr-B-RU - Correspondent Bank from Russia,98.33,206.92,-52.48,120,88,87,195,147,202,172,152,155,153,381,366,385,75,0.69,0.31,"(-99.1,-51.1]"
2,No_SAR,FI - Corr-Bank Other,High Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBHEF1,C,NA,NO_PEP,NONE,NO_PEP,NONE,EUROPE,2,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,466.33,298.08,56.44,407,519,473,498,482,572,473,505,9,20,16,6,4,73,1.00,0.00,"(51.6,63.9]"
3,No_SAR,FI - Corr-Bank Other,Low Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBBRI5,C,NA,NO_PEP,NONE,NO_PEP,NONE,EU15 - EWR,1,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,8,5.58,43.28,12,6,6,8,11,7,8,4,7,5,1,2,2,79,1.00,0.00,"(36.5,43.6]"
4,No_SAR,FI - Corr-Bank RUSSIA,High Risk (special case),N,N,66-FI-Corr-B-RU - Correspondent Bank from Russia,Aktiengesellschaft,WZBTOI1,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS-RUSSIA,3,11 - Banks - FI,66-FI-Corr-B-RU,66-FI-Corr-B-RU - Correspondent Bank from Russia,8,6.08,31.51,10,7,7,1,1,3,3,7,10,6,2,19,7,83,1.00,0.00,"(-36.4,31.8]"
5,No_SAR,FI - Corr-Bank Other,High Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBHEF1,C,NA,NO_PEP,NONE,NO_PEP,NONE,EUROPE,2,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,21.33,14.42,47.98,26,20,18,9,11,15,12,12,14,16,19,13,14,84,1.00,0.00,"(43.6,51.6]"
6,No_SAR,FI - Corr-Bank CIS,High Risk (special case),N,N,66-FI-Corr-B-CIS - Correspondent Bank from CIS Country,Aktiengesellschaft,WZBTOI2,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS,3,11 - Banks - FI,66-FI-Corr-B-CIS,66-FI-Corr-B-CIS - Correspondent Bank from CIS Country,367.67,68,440.69,833,203,67,77,74,71,76,60,30,33,105,19,1,78,0.83,0.17,"(140,616]"
7,No_SAR,FI - Corr-Bank RUSSIA,High Risk (special case),N,N,66-FI-Corr-B-RU - Correspondent Bank from Russia,Aktiengesellschaft,WZBTOI1,C,NA,NO_PEP,NONE,NO_PEP,NONE,CIS-RUSSIA,3,11 - Banks - FI,66-FI-Corr-B-RU,66-FI-Corr-B-RU - Correspondent Bank from Russia,64,110.75,-42.21,65,73,54,73,78,82,65,51,26,38,298,271,220,29,0.98,0.02,"(-51.1,-36.4]"
8,No_SAR,FI - Corr-Bank Other,High Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBHEF1,C,NA,NO_PEP,NONE,NO_PEP,NONE,EUROPE,2,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,56.67,43.17,31.27,63,52,55,51,51,50,51,55,57,49,36,2,9,24,1.00,0.00,"(-36.4,31.8]"
9,No_SAR,FI - Corr-Bank Other,High Risk (special case),Y,N,66-FI-Corr-B - Other Correspondent Bank,Aktiengesellschaft,WZBHEF1,C,NA,NO_PEP,NONE,NO_PEP,NONE,EU28 - EWR,1,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,29.67,22.75,30.4,28,27,34,32,22,32,24,13,18,21,17,19,14,77,0.97,0.03,"(-36.4,31.8]"
10,No_SAR,FI - Corr-Bank Other,High Risk (special case),N,N,66-FI-Corr-B - Other Correspondent Bank,Ges. m. b. H.,WZBKVA1,C,NA,NO_PEP,NONE,NO_PEP,NONE,ASIA,2,11 - Banks - FI,66-FI-Corr-B-Other,66-FI-Corr-B - Other Correspondent Bank,155,65.75,135.74,146,178,141,125,112,105,18,26,17,10,18,20,19,31,0.99,0.01,"(88.9,140]"
